# PIN-CONSISTENCY BACKLOG -- a to-do list of known-wrong identities.
# Written by tools/pin_consistency.py; read by the full gate (tools/build.py).
# Generated file: do not reformat it, and see tools/pin_consistency.py for the
# full argument. THE GOAL IS AN EMPTY FILE.
#
# WHAT EACH LINE MEANS
# --------------------
# reverse/symbols.csv is an ADDITIVE candidate list: build.py's REL32 resolver
# walks a name's addresses and keeps the first displacement that reproduces
# retail. Give one name enough addresses and something matches, so a green gate
# proves the caller's BYTES and says nothing about WHICH function the callee is.
# Every line here is one name whose pinned addresses follow their thunk chains
# to bodies that are NOT the same function. At most one of them is that name.
# The rest are somebody else's function wearing its label, and each one is a
# misidentification waiting to be written up as an exact match -- which is
# exactly how the ControlBar and GameWindow families got 16 rows placed one body
# early before anyone noticed.
#
# WHY THEY ARE STILL HERE
# -----------------------
# Not because they are acceptable. The guard landed against a pre-existing
# backlog, and failing the gate on all of it would have blocked every agent
# from every unrelated commit. So the backlog is recorded WITH its evidence and
# the gate fails on anything NEW. A line here is a debt, never a permission slip.
#
# HOW TO RESOLVE ONE (this is the work; each line is a self-contained task)
# ------------------------------------------------------------------------
#   1. python3 tools/pin_consistency.py --symbol <name>
#        prints every pin, its thunk chain, each body's proven extent, and which
#        functions.csv rows already claim those bodies.
#   2. Decide WHICH body is the name. Evidence that settles it, strongest first:
#        a byte-verified functions.csv row naming this symbol at that body;
#        a ghidra xref/vtable slot; a decoded store offset (the GameWindow family
#        fell out of `lea eax,[eax+eax*2+d]` alone). Decompiled C is not proof.
#   3. Delete the losing pin rows from reverse/symbols.csv -- splice in place,
#        every surviving line byte-identical, terminators unchanged (uniform
#        CRLF), and verify the census before/after. Deleting is a rewrite.
#   4. Delete this line, in the SAME commit. A fixed symbol leaves a stale line
#        that fails too, on purpose: the fix and the removal are one change.
#   5. Run the FULL ./build.sh. Not the scoped one -- see the warning below.
#
# THE TRAP THAT CAUGHT THE LAST TWO SESSIONS
# ------------------------------------------
# A BYTE-VERIFIED CALLER OUTRANKS A BYTE-VERIFIED IDENTITY ROW. A session landed
# all 47 --clear-cut verdicts and the gate turned 111 byte-matched rows RED; 110
# of them resolved to a pin it had just deleted -- retail callers reaching the
# very body the ledger says belongs to somebody else. Only 21 of 47 survived.
# --clear-cut is a CANDIDATE list, not a verdict list: it reads the ledger and
# the image, never the object relocations that say which symbol a call site
# means, so it cannot see this coming. Screening out pins retail calls does NOT
# fix it -- that was measured, and it suppresses 36 of the 39 pins that landed
# clean. Confirm every retraction with a full ./build.sh; expect half to fail.
# When the ledger row and the call site disagree, the row moves first.
#
# THIS FILE IS ONLY ALLOWED TO SHRINK
# -----------------------------------
# Adding a line to make a build green is the exact anti-pattern this guard
# exists to stop -- fix the pin instead. Enforced, not merely requested:
# --write-baseline refuses to emit a key the file does not already carry, and
# `--assert-shrink-only` (run by .githooks/pre-commit) fails on any key added
# vs HEAD, so a hand-edited line is caught too. If you believe a line must be
# added, you have found a NEW misidentification: fix it.
#
# KEY AND COLUMNS
# ---------------
# key = symbol + its sorted body RVAs. A new address on a baselined symbol
# changes the key and FAILS, so a baselined line cannot quietly absorb one more
# bad pin.
#
# kinds:
#   divergent-bodies  same extent, bytes are not the same function even after
#                     rel32 rebasing -- at most one pin names this symbol
#   size-disagreement the pinned bodies have different proven extents. 307 of
#                     these are matched-vs-matched: two byte-verified bodies of
#                     different proven lengths cannot be one function.
#   no-boundary       a pinned body has no proven extent, so nothing can verify it
#   non-text-pin      a pin resolves outside .text and cannot be a code body
#
# evidence: <kind detail> :: <body><-<pins> owned-by:<other functions.csv names>
#           INTERIOR-OF:<fn>+0x<n> means the pin is not even an entry point --
#           it points inside a byte-verified body, so it cannot be any function.
#
# NOT COVERED HERE: single-pinned names, and the functions.csv half of the
# resolver's candidate list. `--candidates` reports the second (114 more).
symbol,bodies,kind,evidence
??0OCLUpdateModuleData@@QAE@XZ,0x00126760 0x00295500 0x002CF5A0 0x00603B90,size-disagreement,0x00126760=96(matched); 0x00295500=33(matched); 0x002CF5A0=36(matched); 0x00603B90=26(matched) :: 0x00126760<-0x0001ECBD owned-by:??0RunOffMapBehaviorModuleData@@QAE@XZ ; 0x00295500<-0x0002C9D0 owned-by:??0HeightDieUpdateModuleData@@QAE@XZ ; 0x002CF5A0<-0x00001780 owned-by:??0SupplyCenterDockUpdateModuleData@@QAE@XZ ; 0x00603B90<-0x0002E069 owned-by:?d_00603b90@@YAXXZ
??0ObjectCreationUpgradeModuleData@@QAE@XZ,0x00201650 0x00214470 0x002149D0 0x0027EAE0 0x002C52E0 0x0077F360,size-disagreement,"0x00201650=111(matched); 0x00214470=26(matched); 0x002149D0=190(matched); 0x0027EAE0=283(matched); 0x002C52E0=18(matched); 0x0077F360=192(matched) :: 0x00201650<-0x00023DCB owned-by:??0InstantDeathBehaviorModuleData@@QAE@XZ ; 0x00214470<-0x00022877 owned-by:??0PorcupineFormationBodyModuleModuleData@@QAE@XZ ; 0x002149D0<-0x0003C556 owned-by:??0RespawnBodyModuleData@@QAE@XZ ; 0x0027EAE0<-0x00048A3B owned-by:??0AnimalAIUpdateModuleData@@QAE@XZ,??0AssaultTransportAIUpdateModuleData@@QAE@XZ,??0CollideModuleModuleData@@QAE@XZ,??0DamageModuleModuleData@@QAE@XZ,??0DeployStyleAIUpdateModuleData@@QAE@XZ,??0HordeAIUpdateModuleData@@QAE@XZ,??0TransportAIUpdateModuleData@@QAE@XZ,??0UpdateModuleModuleData@@QAE@XZ,??0WanderAIUpdateModuleData@@QAE@XZ ; 0x002C52E0<-0x00010C80 owned-by:?d_002c52e0@@YAXXZ ; 0x0077F360<-0x00046B5A owned-by:??0W3DTreeDrawModuleData@@QAE@XZ"
??0ObjectModule@@QAE@PAVThing@@PBVModuleData@@@Z,0x00113C60 0x00113DA0 0x005F2CA0,size-disagreement,"0x00113C60=131(matched); 0x00113DA0=131(matched); 0x005F2CA0=99(matched) :: 0x00113C60<-0x000170E4 owned-by:??1SlavedUpdate@@UAE@XZ ; 0x00113DA0<-0x00002874 owned-by:??0ModelConditionSoundSelectorClientBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,??0UpgradeSoundSelectorClientBehavior@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x005F2CA0<-0x00041CBD owned-by:?d_005f2ca0@@YAXXZ"
??0OverchargeBehaviorModuleData@@QAE@XZ,0x002029B0 0x002074C0 0x0024F7A0 0x0028AAE0 0x0028CD30 0x00292CB0,size-disagreement,0x002029B0=17(matched); 0x002074C0=17(matched); 0x0024F7A0=20(matched); 0x0028AAE0=23(matched); 0x0028CD30=23(matched); 0x00292CB0=23(matched) :: 0x002029B0<-0x0002EA73 owned-by:??0PoisonedBehaviorModuleData@@QAE@XZ ; 0x002074C0<-0x000485B8 owned-by:??0SlaveWatcherBehaviorModuleData@@QAE@XZ ; 0x0024F7A0<-0x0000FA5B owned-by:??0ExperienceLevelCreateModuleData@@QAE@XZ ; 0x0028AAE0<-0x0002E500 owned-by:??0CommandButtonHuntUpdateModuleData@@QAE@XZ ; 0x0028CD30<-0x0003EE87 owned-by:??0DestroyEnvironmentUpdateModuleData@@QAE@XZ ; 0x00292CB0<-0x0002DAA1 owned-by:??0FireWeaponUpdateModuleData@@QAE@XZ
??0PSPlayerStats@@QAE@ABV0@@Z,0x006577D0 0x00887B60,size-disagreement,"0x006577D0=1896(matched); 0x00887B60=121(matched) :: 0x006577D0<-0x0001C783 owned-by:unclaimed ; 0x00887B60<-0x00887B60 owned-by:??0?$StringBase@D@@AAE@ABV0@@Z,??0?$list@PAVFXNugget@@V?$allocator@PAVFXNugget@@@_STL@@@_STL@@QAE@ABV01@@Z,??0BuddyInfo@@QAE@ABV0@@Z,??0GameSpyGroupRoom@@QAE@ABV0@@Z,??0MultiplayerColorDefinition@@QAE@ABV0@@Z"
??0PSPlayerStats@@QAE@XZ,0x004D4F40 0x00658EF0,size-disagreement,0x004D4F40=99(matched); 0x00658EF0=1525(matched) :: 0x004D4F40<-0x0004048A owned-by:??0?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAE@XZ ; 0x00658EF0<-0x0003599A owned-by:unclaimed
??0ParkingPlaceBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,0x001F59F0 0x0020AE30 0x0029A880,size-disagreement,0x001F59F0=138(matched); 0x0020AE30=376(matched); 0x0029A880=202(matched) :: 0x001F59F0<-0x0001002D owned-by:unclaimed ; 0x0020AE30<-0x0000CDD8 owned-by:??0SpawnBehavior@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x0029A880<-0x0003C3BC owned-by:?d_0029a880@@YAXXZ
??0PhysicsBehaviorModuleData@@QAE@XZ,0x001FCEC0 0x00215B90 0x002827E0 0x0029FB70 0x00758780,size-disagreement,"0x001FCEC0=483(matched); 0x00215B90=126(matched); 0x002827E0=242(matched); 0x0029FB70=159(matched); 0x00758780=67(matched) :: 0x001FCEC0<-0x0001659F owned-by:??0GateOpenAndCloseBehaviorModuleData@@QAE@XZ,??0GateProxyBehaviorModuleData@@QAE@XZ ; 0x00215B90<-0x000103E8 owned-by:?d_00215b90@@YAXXZ ; 0x002827E0<-0x00007FF4 owned-by:??0AutoPickUpUpdateModuleData@@QAE@XZ ; 0x0029FB70<-0x0002D22C owned-by:??0ProductionUpdateModuleData@@QAE@XZ ; 0x00758780<-0x00028D9E owned-by:?d_00758780@@YAXXZ"
??0PilotFindVehicleUpdateModuleData@@QAE@XZ,0x00123D00 0x0020D580 0x002516D0 0x002CEF40 0x00607550 0x00608DC0,size-disagreement,0x00123D00=83(matched); 0x0020D580=20(matched); 0x002516D0=20(matched); 0x002CEF40=25(matched); 0x00607550=20(matched); 0x00608DC0=20(matched) :: 0x00123D00<-0x00030BC0 owned-by:??0SpecialEnemySenseUpdateModuleData@@QAE@XZ ; 0x0020D580<-0x000261CA owned-by:??0SupplyWarehouseCripplingBehaviorModuleData@@QAE@XZ ; 0x002516D0<-0x0003E4A5 owned-by:?d_002516d0@@YAXXZ ; 0x002CEF40<-0x000118E7 owned-by:??0RepairDockUpdateModuleData@@QAE@XZ ; 0x00607550<-0x00038E97 owned-by:??0ModelConditionSoundSelectorClientBehaviorModuleData@@QAE@XZ ; 0x00608DC0<-0x0003035A owned-by:??0UpgradeSoundSelectorClientBehaviorModuleData@@QAE@XZ
??0PointDefenseLaserUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x00202F40 0x00215C50 0x0026B340 0x00286F80 0x002B0AD0 0x002D32B0,size-disagreement,"0x00202F40=154(matched); 0x00215C50=97(matched); 0x0026B340=53(matched); 0x00286F80=154(matched); 0x002B0AD0=146(matched); 0x002D32B0=193(matched) :: 0x00202F40<-0x0000EF5C owned-by:?d_00202f40@@YAXXZ ; 0x00215C50<-0x0000F7DB owned-by:?d_00215c50@@YAXXZ ; 0x0026B340<-0x00014966 owned-by:??0StopSpecialPower@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x00286F80<-0x0002911D owned-by:??0SmartBombTargetHomingUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002B0AD0<-0x000341A3 owned-by:??0PoisonedBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,??0TemporarilyDefectUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002D32B0<-0x00046EA7 owned-by:?d_002d32b0@@YAXXZ"
??0PowerPlantUpdateModuleData@@QAE@XZ,0x001ED6A0 0x001FABC0 0x00205F60 0x0024FE00 0x00294F60 0x0029FE30,size-disagreement,0x001ED6A0=16(matched); 0x001FABC0=16(matched); 0x00205F60=16(matched); 0x0024FE00=16(matched); 0x00294F60=13(matched); 0x0029FE30=16(matched) :: 0x001ED6A0<-0x0001FABE owned-by:??0AutoAbilityBehaviorModuleData@@QAE@XZ ; 0x001FABC0<-0x0001FEB0 owned-by:?d_001fabc0@@YAXXZ ; 0x00205F60<-0x00043969 owned-by:??0SiegeDockingBehaviorModuleData@@QAE@XZ ; 0x0024FE00<-0x000283F3 owned-by:??0LockWeaponCreateModuleData@@QAE@XZ ; 0x00294F60<-0x0004601A owned-by:??0FloatUpdateModuleData@@QAE@XZ ; 0x0029FE30<-0x0002DABA owned-by:??0ProneUpdateModuleData@@QAE@XZ
??0ProductionPrerequisite@@QAE@ABV0@@Z,0x00138290 0x00783D50,size-disagreement,0x00138290=157(matched); 0x00783D50=46(matched) :: 0x00138290<-0x00031B06 owned-by:?d_00138290@@YAXXZ ; 0x00783D50<-0x00783D50 owned-by:?d_00783d50@@YAXXZ
??0ProductionUpdateModuleData@@QAE@XZ,0x00291950 0x002978A0 0x002A08B0,size-disagreement,"0x00291950=114(matched); 0x002978A0=105(matched); 0x002A08B0=62(matched) :: 0x00291950<-0x0000E9F8 owned-by:??0HitReactionBehaviorModuleData@@QAE@XZ ; 0x002978A0<-0x0003FD5A owned-by:??0GrantStealthBehaviorModuleData@@QAE@XZ,??0LargeGroupBonusUpdateModuleData@@QAE@XZ ; 0x002A08B0<-0x0000ECFF owned-by:??0RainOfFireUpdateModuleData@@QAE@XZ"
??0ProjectileStreamUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x001FBC70 0x002CF800,size-disagreement,0x001FBC70=395(matched); 0x002CF800=65(matched) :: 0x001FBC70<-0x000328C6 owned-by:??0FireWeaponWhenDeadBehavior@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002CF800<-0x0001E902 owned-by:?d_002cf800@@YAXXZ
??0QueuedDownload@@QAE@ABV0@@Z,0x001A5A60 0x0060FB70 0x0075E480 0x0075EA00 0x00783D50 0x00783D90,size-disagreement,"0x001A5A60=93(matched); 0x0060FB70=91(matched); 0x0075E480=97(matched); 0x0075EA00=91(matched); 0x00783D50=46(matched); 0x00783D90=46(matched) :: 0x001A5A60<-0x000451D3 owned-by:?d_001a5a60@@YAXXZ ; 0x0060FB70<-0x00018ACA owned-by:?d_0060fb70@@YAXXZ ; 0x0075E480<-0x00024BC7 owned-by:??0WeaponBarrelInfo@ModelConditionInfo@@QAE@ABU01@@Z ; 0x0075EA00<-0x0001005F owned-by:??0?$pair@$$CBVAsciiString@@VArchivedFileInfo@@@_STL@@QAE@ABU01@@Z,??0?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@_STL@@QAE@ABU01@@Z ; 0x00783D50<-0x00038550 owned-by:?d_00783d50@@YAXXZ ; 0x00783D90<-0x0003F170 owned-by:?d_00783d90@@YAXXZ"
??0RadarUpgradeModuleData@@QAE@XZ,0x00201650 0x00214470 0x002149D0 0x0027EAE0 0x002C52E0 0x0077F360,size-disagreement,"0x00201650=111(matched); 0x00214470=26(matched); 0x002149D0=190(matched); 0x0027EAE0=283(matched); 0x002C52E0=18(matched); 0x0077F360=192(matched) :: 0x00201650<-0x00023DCB owned-by:??0InstantDeathBehaviorModuleData@@QAE@XZ ; 0x00214470<-0x00022877 owned-by:??0PorcupineFormationBodyModuleModuleData@@QAE@XZ ; 0x002149D0<-0x0003C556 owned-by:??0RespawnBodyModuleData@@QAE@XZ ; 0x0027EAE0<-0x00048A3B owned-by:??0AnimalAIUpdateModuleData@@QAE@XZ,??0AssaultTransportAIUpdateModuleData@@QAE@XZ,??0CollideModuleModuleData@@QAE@XZ,??0DamageModuleModuleData@@QAE@XZ,??0DeployStyleAIUpdateModuleData@@QAE@XZ,??0HordeAIUpdateModuleData@@QAE@XZ,??0TransportAIUpdateModuleData@@QAE@XZ,??0UpdateModuleModuleData@@QAE@XZ,??0WanderAIUpdateModuleData@@QAE@XZ ; 0x002C52E0<-0x00010C80 owned-by:?d_002c52e0@@YAXXZ ; 0x0077F360<-0x00046B5A owned-by:??0W3DTreeDrawModuleData@@QAE@XZ"
??0RadiusDecalUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x00202F40 0x00215C50 0x0026B340 0x00286F80 0x002B0AD0 0x002D32B0,size-disagreement,"0x00202F40=154(matched); 0x00215C50=97(matched); 0x0026B340=53(matched); 0x00286F80=154(matched); 0x002B0AD0=146(matched); 0x002D32B0=193(matched) :: 0x00202F40<-0x0000EF5C owned-by:?d_00202f40@@YAXXZ ; 0x00215C50<-0x0000F7DB owned-by:?d_00215c50@@YAXXZ ; 0x0026B340<-0x00014966 owned-by:??0StopSpecialPower@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x00286F80<-0x0002911D owned-by:??0PointDefenseLaserUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,??0SmartBombTargetHomingUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002B0AD0<-0x000341A3 owned-by:??0PoisonedBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,??0TemporarilyDefectUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002D32B0<-0x00046EA7 owned-by:?d_002d32b0@@YAXXZ"
??0RailedTransportAIUpdateModuleData@@QAE@XZ,0x00203E60 0x002B13A0 0x0036CDD0,size-disagreement,0x00203E60=117(matched); 0x002B13A0=123(matched); 0x0036CDD0=58(matched) :: 0x00203E60<-0x000331A9 owned-by:??0EnragedBehaviorModuleData@@QAE@XZ ; 0x002B13A0<-0x00022B15 owned-by:??0ToppleUpdateModuleData@@QAE@XZ ; 0x0036CDD0<-0x0002AE6E owned-by:??0CastleMemberBehavior@@QAE@PAVThing@@PBVModuleData@@@Z
??0RailedTransportDockUpdateModuleData@@QAE@XZ,0x00126760 0x00295500 0x002CF5A0 0x00603B90,size-disagreement,0x00126760=96(matched); 0x00295500=33(matched); 0x002CF5A0=36(matched); 0x00603B90=26(matched) :: 0x00126760<-0x0001ECBD owned-by:??0RunOffMapBehaviorModuleData@@QAE@XZ ; 0x00295500<-0x0002C9D0 owned-by:??0HeightDieUpdateModuleData@@QAE@XZ ; 0x002CF5A0<-0x00001780 owned-by:??0SupplyCenterDockUpdateModuleData@@QAE@XZ ; 0x00603B90<-0x0002E069 owned-by:?d_00603b90@@YAXXZ
??0RebuildHoleBehaviorModuleData@@QAE@XZ,0x00123D00 0x0020D580 0x002516D0 0x002CEF40 0x00607550 0x00608DC0,size-disagreement,0x00123D00=83(matched); 0x0020D580=20(matched); 0x002516D0=20(matched); 0x002CEF40=25(matched); 0x00607550=20(matched); 0x00608DC0=20(matched) :: 0x00123D00<-0x00030BC0 owned-by:??0SpecialEnemySenseUpdateModuleData@@QAE@XZ ; 0x0020D580<-0x000261CA owned-by:??0SupplyWarehouseCripplingBehaviorModuleData@@QAE@XZ ; 0x002516D0<-0x0003E4A5 owned-by:?d_002516d0@@YAXXZ ; 0x002CEF40<-0x000118E7 owned-by:??0RepairDockUpdateModuleData@@QAE@XZ ; 0x00607550<-0x00038E97 owned-by:??0ModelConditionSoundSelectorClientBehaviorModuleData@@QAE@XZ ; 0x00608DC0<-0x0003035A owned-by:??0UpgradeSoundSelectorClientBehaviorModuleData@@QAE@XZ
??0RebuildHoleExposeDieModuleData@@QAE@XZ,0x00203E60 0x002B13A0 0x0036CDD0,size-disagreement,0x00203E60=117(matched); 0x002B13A0=123(matched); 0x0036CDD0=58(matched) :: 0x00203E60<-0x000331A9 owned-by:??0EnragedBehaviorModuleData@@QAE@XZ ; 0x002B13A0<-0x00022B15 owned-by:??0ToppleUpdateModuleData@@QAE@XZ ; 0x0036CDD0<-0x0002AE6E owned-by:??0CastleMemberBehavior@@QAE@PAVThing@@PBVModuleData@@@Z
??0ReplaceObjectUpgradeModuleData@@QAE@XZ,0x00201650 0x00214470 0x002149D0 0x0027EAE0 0x002C52E0 0x0077F360,size-disagreement,"0x00201650=111(matched); 0x00214470=26(matched); 0x002149D0=190(matched); 0x0027EAE0=283(matched); 0x002C52E0=18(matched); 0x0077F360=192(matched) :: 0x00201650<-0x00023DCB owned-by:??0InstantDeathBehaviorModuleData@@QAE@XZ ; 0x00214470<-0x00022877 owned-by:??0PorcupineFormationBodyModuleModuleData@@QAE@XZ ; 0x002149D0<-0x0003C556 owned-by:??0RespawnBodyModuleData@@QAE@XZ ; 0x0027EAE0<-0x00048A3B owned-by:??0AnimalAIUpdateModuleData@@QAE@XZ,??0AssaultTransportAIUpdateModuleData@@QAE@XZ,??0CollideModuleModuleData@@QAE@XZ,??0DamageModuleModuleData@@QAE@XZ,??0DeployStyleAIUpdateModuleData@@QAE@XZ,??0HordeAIUpdateModuleData@@QAE@XZ,??0TransportAIUpdateModuleData@@QAE@XZ,??0UpdateModuleModuleData@@QAE@XZ,??0WanderAIUpdateModuleData@@QAE@XZ ; 0x002C52E0<-0x00010C80 owned-by:?d_002c52e0@@YAXXZ ; 0x0077F360<-0x00046B5A owned-by:??0W3DTreeDrawModuleData@@QAE@XZ"
??0RiderChangeContainModuleData@@QAE@XZ,0x00261260 0x00264990 0x00268120 0x0026B1D0,size-disagreement,0x00261260=18(matched); 0x00264990=18(matched); 0x00268120=430(matched); 0x0026B1D0=18(matched) :: 0x00261260<-0x0001C580 owned-by:?d_00261260@@YAXXZ ; 0x00264990<-0x0001C486 owned-by:?d_00264990@@YAXXZ ; 0x00268120<-0x00015C44 owned-by:unclaimed ; 0x0026B1D0<-0x00014619 owned-by:?d_0026b1d0@@YAXXZ
??0SlavedUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x001F8B80 0x0025A1B0,size-disagreement,"0x001F8B80=107(matched); 0x0025A1B0=82(matched) :: 0x001F8B80<-0x0002D40C owned-by:??0DynamicPortalBehaviour@@QAE@PAVThing@@PBVModuleData@@@Z,??0QueueProductionExitUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,??0RebuildHoleBehavior@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x0025A1B0<-0x00001CDA owned-by:??0DeflectSpecialPower@@QAE@PAVThing@@PBVModuleData@@@Z"
??0SlavedUpdateModuleData@@QAE@XZ,0x00217870 0x00294B20,size-disagreement,"0x00217870=147(matched); 0x00294B20=180(matched) :: 0x00217870<-0x000441CA owned-by:??0ConvertToCarBombCrateCollideModuleData@@QAE@XZ,??0HealCrateCollideModuleData@@QAE@XZ,??0MoneyCrateCollideModuleData@@QAE@XZ,??0ShroudCrateCollideModuleData@@QAE@XZ ; 0x00294B20<-0x0003AE86 owned-by:??0FlammableUpdateModuleData@@QAE@XZ"
??0SlowDeathBehaviorModuleData@@QAE@XZ,0x0012A970 0x002D6A20,size-disagreement,0x0012A970=141(matched); 0x002D6A20=158(matched) :: 0x0012A970<-0x0002FDA6 owned-by:??0SpawnBehaviorModuleData@@QAE@XZ ; 0x002D6A20<-0x000186FB owned-by:??0ModelConditionUpgradeModuleData@@QAE@XZ
??0SmartBombTargetHomingUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x00202F40 0x00215C50 0x0026B340 0x00286F80 0x002B0AD0 0x002D32B0,size-disagreement,"0x00202F40=154(matched); 0x00215C50=97(matched); 0x0026B340=53(matched); 0x00286F80=154(matched); 0x002B0AD0=146(matched); 0x002D32B0=193(matched) :: 0x00202F40<-0x0000EF5C owned-by:?d_00202f40@@YAXXZ ; 0x00215C50<-0x0000F7DB owned-by:?d_00215c50@@YAXXZ ; 0x0026B340<-0x00014966 owned-by:??0StopSpecialPower@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x00286F80<-0x0002911D owned-by:??0PointDefenseLaserUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002B0AD0<-0x000341A3 owned-by:??0PoisonedBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,??0TemporarilyDefectUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002D32B0<-0x00046EA7 owned-by:?d_002d32b0@@YAXXZ"
??0SpawnBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,0x002AF1E0 0x002B1060,size-disagreement,0x002AF1E0=205(matched); 0x002B1060=187(matched) :: 0x002AF1E0<-0x00034711 owned-by:?d_002af1e0@@YAXXZ ; 0x002B1060<-0x00035D91 owned-by:??0ToppleUpdate@@QAE@PAVThing@@PBVModuleData@@@Z
??0SpecialPowerCompletionDie@@QAE@PAVThing@@PBVModuleData@@@Z,0x0027FB60 0x00283330 0x002926C0 0x002AAF30 0x002D5790 0x007583A0,size-disagreement,0x0027FB60=134(matched); 0x00283330=76(matched); 0x002926C0=134(matched); 0x002AAF30=131(matched); 0x002D5790=120(matched); 0x007583A0=307(matched) :: 0x0027FB60<-0x0000BAF0 owned-by:??0AssistedTargetingUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x00283330<-0x0003DB36 owned-by:?d_00283330@@YAXXZ ; 0x002926C0<-0x0004B510 owned-by:?d_002926c0@@YAXXZ ; 0x002AAF30<-0x00008878 owned-by:??0SpecialEnemySenseUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002D5790<-0x00038C35 owned-by:??0GeometryUpgrade@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x007583A0<-0x00034EDC owned-by:?d_007583a0@@YAXXZ
??0SpecialPowerCompletionDieModuleData@@QAE@XZ,0x001F6C70 0x002001A0 0x002027A0 0x00203440 0x0028B9E0 0x00298D30,size-disagreement,0x001F6C70=126(matched); 0x002001A0=40(matched); 0x002027A0=123(matched); 0x00203440=48(matched); 0x0028B9E0=32(matched); 0x00298D30=32(matched) :: 0x001F6C70<-0x0004A250 owned-by:?d_001f6c70@@YAXXZ ; 0x002001A0<-0x0000E5A7 owned-by:??0ClickReactionBehaviorModuleData@@QAE@XZ ; 0x002027A0<-0x00009AC0 owned-by:??0PassiveAreaEffectBehaviorModuleData@@QAE@XZ ; 0x00203440<-0x0000497B owned-by:?d_00203440@@YAXXZ ; 0x0028B9E0<-0x0000F6BE owned-by:??0HealContainModuleData@@QAE@XZ ; 0x00298D30<-0x000246CC owned-by:??0OneRingPenaltyUpdateModuleData@@QAE@XZ
??0SpectreGunshipUpdateModuleData@@QAE@XZ,0x0012AF80 0x002D5180 0x00757960,size-disagreement,0x0012AF80=93(matched); 0x002D5180=28(matched); 0x00757960=115(matched) :: 0x0012AF80<-0x00016C39 owned-by:??0CommandSetUpgradeModuleData@@QAE@XZ ; 0x002D5180<-0x00025D47 owned-by:??0ExperienceScalarUpgradeModuleData@@QAE@XZ ; 0x00757960<-0x0000B997 owned-by:?d_00757960@@YAXXZ
??0SpyVisionUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x001EE950 0x002029F0 0x002062C0 0x00295550 0x002CFD40,size-disagreement,"0x001EE950=276(matched); 0x002029F0=164(matched); 0x002062C0=162(matched); 0x00295550=97(matched); 0x002CFD40=160(matched) :: 0x001EE950<-0x00048B9E owned-by:??0EMPUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,??0FireOCLAfterWeaponCooldownUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,??0W3DTracerDraw@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002029F0<-0x00041547 owned-by:?d_002029f0@@YAXXZ ; 0x002062C0<-0x00004D36 owned-by:??0SiegeDockingBehavior@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x00295550<-0x0000C199 owned-by:??0HeightDieUpdate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x002CFD40<-0x00025581 owned-by:?d_002cfd40@@YAXXZ"
